main_topic_id|main_topic_name|sub_topic_id|sub_topic_name|question_id
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6272214909321216
5878262490202112|Arithmetic Reasoning|6140467079020544|Geometry 1|5293919170461696
4830925621821440|Assembling Objects|5718254613954560|Connection Items 1|5254996700430336
5861375517655040|Auto and Shop Information|4766215679508480|Woodworking Extended 2|6051494709166080
5984778887102464|Paragraph Comprehension|6076251815018496|Finding Information 1|5920128656998400
5533861310103552|General Science|6558426519830528|Ecology Extended 2|5995476566409216
5945201837211648|Mathematics Knowledge|5661873370300416|Geometry 1|6162608300228608
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|5002502686638080
5878262490202112|Arithmetic Reasoning|6703417032441856|Unit Conversion  1|5820379618607104
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|5366992536076288
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|6337069016154112
5878262490202112|Arithmetic Reasoning|4872818244190208|Statistics Extended 2|5996088154652672
5984778887102464|Paragraph Comprehension|6447547467956224|Word Meaning in Context Extended 2|5759074587115520
5984778887102464|Paragraph Comprehension|6639201768439808|Main Idea 1|5430173551820800
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|6013291832803328
4830925621821440|Assembling Objects|5718254613954560|Connection Items 1|5017132049891328
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|4882413287112704
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|6593454740078592
5533861310103552|General Science|4819397214470144|Physical Science 1|6486154712973312
5878262490202112|Arithmetic Reasoning|4979382800089088|Statistics 1|5788817413898240
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|6746460768960512
5878262490202112|Arithmetic Reasoning|6394770909822976|Geometry Extended 2|5744557689929728
5984778887102464|Paragraph Comprehension|5679428805853184|Main Idea Extended 3|5373146098040832
5549399260266496|Electronics Information|5518281632907264|Electrical Systems Extended 1|4834398822203392
5878262490202112|Arithmetic Reasoning|5542332753510400|Fraction 1|5321827364634624
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|4756212082016256
5878262490202112|Arithmetic Reasoning|6703417032441856|Unit Conversion  1|6543795489341440
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|5937553876189184
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|5057391999582208
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|6696810947018752
5878262490202112|Arithmetic Reasoning|6486168484970496|Equations Extended 3|5624921912770560
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|6004278625828864
5878262490202112|Arithmetic Reasoning|5161978528006144|Number Properties Extended 1|6033385113780224
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|4829038017249280
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|6343897913491456
5984778887102464|Paragraph Comprehension|5654559737249792|Finding Information Extended 3|5223492257579008
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|5810120451686400
4830925621821440|Assembling Objects|4873829683822592|Puzzle Items 1|6342583653498880
5533861310103552|General Science|6413265819140096|Nutrition & Health Extended 2|4582152280735744
5861375517655040|Auto and Shop Information|5691986191319040|Woodworking Extended 3|5693902577205248
5878262490202112|Arithmetic Reasoning|5486345732489216|Fraction Extended 1|4967453016719360
5861375517655040|Auto and Shop Information|4690630965985280|Mechanical Systems Extended 3|4901271463002112
5878262490202112|Arithmetic Reasoning|5184035106062336|Ratio & Proportion Extended 2|5923318834135040
5861375517655040|Auto and Shop Information|6380715671289856|Metal Shop Extended 3|6507842097905664
5533861310103552|General Science|4972937287303168|Nutrition & Health Extended 3|5360912823222272
4830925621821440|Assembling Objects|4873829683822592|Puzzle Items 1|6429763973414912
5533861310103552|General Science|6508247074734080|Cellular Biology 1|5291345075765248
5878262490202112|Arithmetic Reasoning|4627539079200768|Distance, Rate, & Time 1|4832765243555840
5878262490202112|Arithmetic Reasoning|5190489032622080|Math Operations 1|5856850668945408
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|6415833884524544
5861375517655040|Auto and Shop Information|4698664433876992|Mechanical Systems Extended 1|6637597891756032
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|5433598620467200
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6029052886384640
5878262490202112|Arithmetic Reasoning|5542332753510400|Fraction 1|6414222365818880
5878262490202112|Arithmetic Reasoning|5119311651799040|Fraction Extended 2|4832186377175040
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|5586100728889344
5878262490202112|Arithmetic Reasoning|6451628357976064|Math Operations Extended 1|6091727949529088
5878262490202112|Arithmetic Reasoning|5190489032622080|Math Operations 1|4936233018982400
5861375517655040|Auto and Shop Information|4537922237759488|Woodworking 1|6124089238355968
5878262490202112|Arithmetic Reasoning|4966711639932928|Statistics Extended 3|5846320942153728
5878262490202112|Arithmetic Reasoning|6401807945302016|Equations Extended 1|5698120503525376
4643957105491968|Mechanical Comprehension|5643629490077696|Machines 1|4916411979792384
5533861310103552|General Science|6483823432826880|Earth Science Extended 3|4680435493765120
5533861310103552|General Science|4678659726114816|Earth Science 1|5959850628481024
5945201837211648|Mathematics Knowledge|5705996265586688|Algebra Extended 1|4530048623181824
5861375517655040|Auto and Shop Information|4537922237759488|Woodworking 1|6601690440531968
6473544454111232|Word Knowledge|4673555786629120|Contextualised Questions Extended 1|5672213260795904
5533861310103552|General Science|5461107028262912|Nutrition & Health Extended 1|4511783536558080
4643957105491968|Mechanical Comprehension|4799204559945728|Fundamentals of Mechanics 1|5751667691618304
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|6090716335833088
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|5429404081586176
5533861310103552|General Science|5618955666325504|Cellular Biology Extended 1|5117130479501312
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6285359891611648
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|4824078940635136
5878262490202112|Arithmetic Reasoning|5190489032622080|Math Operations 1|6530135178084352
4643957105491968|Mechanical Comprehension|5668232136491008|Fundamentals of Mechanics Extended 1|6096606470340608
5878262490202112|Arithmetic Reasoning|6007742816845824|Ratio & Proportion Extended 1|6037668043423744
5533861310103552|General Science|6508247074734080|Cellular Biology 1|4556436510081024
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|6571455078727680
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6519775482085376
5533861310103552|General Science|4678659726114816|Earth Science 1|4604278687662080
5878262490202112|Arithmetic Reasoning|4726139650048000|Fraction Extended 3|6430264293064704
5533861310103552|General Science|6588707205283840|Human Body Systems Extended 2|5692389314265088
6473544454111232|Word Knowledge|6731324547137536|Synonym-based Questions Extended 2|4713971160449024
5533861310103552|General Science|5023671991140352|Nutrition & Health 1|6083027822182400
5984778887102464|Paragraph Comprehension|6427577656803328|Word Meaning in Context Extended 1|4614867919044608
5984778887102464|Paragraph Comprehension|4815248745824256|Wider Implications Extended 1|4846429965123584
5549399260266496|Electronics Information|6051548371091456|Electricity 1|5247814625918976
5984778887102464|Paragraph Comprehension|6037264542990336|Finding Information Extended 1|5775952197976064
5878262490202112|Arithmetic Reasoning|4849791984992256|Unit Conversion  Extended 1|6302834182062080
5533861310103552|General Science|4583197996220416|Earth Science Extended 2|4715619865853952
5878262490202112|Arithmetic Reasoning|6140467079020544|Geometry 1|6424969414180864
5549399260266496|Electronics Information|6051548371091456|Electricity 1|5198177370112000
4830925621821440|Assembling Objects|5718254613954560|Connection Items 1|4510308729094144
5878262490202112|Arithmetic Reasoning|5125704442183680|Geometry Extended 3|5384801431322624
5533861310103552|General Science|6117465406832640|Ecology Extended 1|5667828636057600
6473544454111232|Word Knowledge|4524639741018112|Synonym-based Questions Extended 1|5457025601372160
5533861310103552|General Science|6316508795895808|Cellular Biology Extended 2|6442832264953856
4830925621821440|Assembling Objects|4873829683822592|Puzzle Items 1|6672059184709632
4643957105491968|Mechanical Comprehension|4799204559945728|Fundamentals of Mechanics 1|5483640391729152
5878262490202112|Arithmetic Reasoning|5894176474398720|Equations 1|5214588909912064
5878262490202112|Arithmetic Reasoning|4979382800089088|Statistics 1|6529448453079040
5878262490202112|Arithmetic Reasoning|5325854750015488|Number Properties Extended 3|4946852206084096
5984778887102464|Paragraph Comprehension|6076251815018496|Finding Information 1|4557751978033152
5878262490202112|Arithmetic Reasoning|5894176474398720|Equations 1|5409974823944192
6473544454111232|Word Knowledge|6428095535906816|Synonym-based Questions 1|5780536716951552
5878262490202112|Arithmetic Reasoning|6703417032441856|Unit Conversion  1|5477960968568832
5878262490202112|Arithmetic Reasoning|6155878117933056|Equations Extended 2|5874403141222400
5984778887102464|Paragraph Comprehension|4912312079089664|Finding Information Extended 2|4515540450148352
5533861310103552|General Science|5946170165690368|Earth Science Extended 1|5042193005805568
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6735932596158464
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|5404699127709696
5878262490202112|Arithmetic Reasoning|4627539079200768|Distance, Rate, & Time 1|5725817457868800
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|5472673461174272
4643957105491968|Mechanical Comprehension|5643629490077696|Machines 1|4872721928290304
5861375517655040|Auto and Shop Information|5100872191180800|Metal Shop 1|5740996274946048
6473544454111232|Word Knowledge|6428095535906816|Synonym-based Questions 1|5889479401275392
5533861310103552|General Science|4819397214470144|Physical Science 1|4527135437881344
5861375517655040|Auto and Shop Information|5691986191319040|Woodworking Extended 3|5927954513133568
4643957105491968|Mechanical Comprehension|6070407060783104|Machines Extended 2|5414940961669120
5861375517655040|Auto and Shop Information|4888261377916928|Metal Shop Extended 2|5668010677239808
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|6472424239398912
5878262490202112|Arithmetic Reasoning|4979382800089088|Statistics 1|5922332512092160
5945201837211648|Mathematics Knowledge|5705996265586688|Algebra Extended 1|4758747041759232
5945201837211648|Mathematics Knowledge|5661873370300416|Geometry 1|6073202197397504
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|5619595702435840
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|4826580826193920
5861375517655040|Auto and Shop Information|5582728330215424|Mechanical Systems Extended 2|5288765291495424
5878262490202112|Arithmetic Reasoning|6083847531790336|Statistics Extended 1|4693654799122432
5878262490202112|Arithmetic Reasoning|5190489032622080|Math Operations 1|5786410856480768
5533861310103552|General Science|5639004573663232|Physical Science Extended 2|5038894563196928
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|5798218560438272
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|4661615695757312
5878262490202112|Arithmetic Reasoning|5542332753510400|Fraction 1|4890912222085120
5533861310103552|General Science|6588707205283840|Human Body Systems Extended 2|5868311174709248
6473544454111232|Word Knowledge|6731324547137536|Synonym-based Questions Extended 2|4573233672093696
4643957105491968|Mechanical Comprehension|4799204559945728|Fundamentals of Mechanics 1|5961649984897024
5549399260266496|Electronics Information|6638202945273856|Electricity Extended 1|5614796930023424
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|5776946124292096
5533861310103552|General Science|6572076420825088|Physical Science Extended 1|6364912473341952
4643957105491968|Mechanical Comprehension|4799204559945728|Fundamentals of Mechanics 1|6100588116836352
5878262490202112|Arithmetic Reasoning|6394770909822976|Geometry Extended 2|5885295178285056
5984778887102464|Paragraph Comprehension|5679428805853184|Main Idea Extended 3|5513883586396160
6473544454111232|Word Knowledge|4879983163998208|Contextualised Questions 1|6609076039450624
5878262490202112|Arithmetic Reasoning|6457126427820032|Number Properties 1|5093128946057216
5984778887102464|Paragraph Comprehension|6037264542990336|Finding Information Extended 1|5635214709620736
4643957105491968|Mechanical Comprehension|4596897775878144|Machines Extended 3|6379199145181184
5533861310103552|General Science|4819397214470144|Physical Science 1|5441945084100608
4643957105491968|Mechanical Comprehension|5643629490077696|Machines 1|6597427819708416
5878262490202112|Arithmetic Reasoning|6140467079020544|Geometry 1|4969775505604608
5533861310103552|General Science|6117465406832640|Ecology Extended 1|5843750496501760
5533861310103552|General Science|6316508795895808|Cellular Biology Extended 2|6302094776598528
4830925621821440|Assembling Objects|5718254613954560|Connection Items 1|6531321696354304
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|5040742961512448
5878262490202112|Arithmetic Reasoning|5460007424360448|Percentage Extended 1|6583025810800640
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|4872978552586240
5861375517655040|Auto and Shop Information|6380715671289856|Metal Shop Extended 3|6648579586260992
5878262490202112|Arithmetic Reasoning|6666387997065216|Number Properties Extended 2|4806114717728768
5945201837211648|Mathematics Knowledge|5661873370300416|Geometry 1|5574621891919872
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|4704674219294720
5878262490202112|Arithmetic Reasoning|4627539079200768|Distance, Rate, & Time 1|4973502731911168
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|5717874452725760
5945201837211648|Mathematics Knowledge|5712882842992640|Geometry Extended 1|4781968520642560
5878262490202112|Arithmetic Reasoning|6703417032441856|Unit Conversion  1|6238300505374720
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|5840519257128960
5984778887102464|Paragraph Comprehension|4912312079089664|Finding Information Extended 2|4770627147792384
4643957105491968|Mechanical Comprehension|5643629490077696|Machines 1|5000062876778496
5533861310103552|General Science|5946170165690368|Earth Science Extended 1|4901455517450240
5878262490202112|Arithmetic Reasoning|6457126427820032|Number Properties 1|6554208100679680
5878262490202112|Arithmetic Reasoning|5595905113718784|Distance, Rate, & Time Extended 3|5818637193576448
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|4674647431839744
6473544454111232|Word Knowledge|6428095535906816|Synonym-based Questions 1|6370397962371072
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|5948167377911808
5878262490202112|Arithmetic Reasoning|4966711639932928|Statistics Extended 3|5670399081709568
5878262490202112|Arithmetic Reasoning|6401807945302016|Equations Extended 1|5838857991880704
5549399260266496|Electronics Information|6051548371091456|Electricity 1|5150607587409920
4643957105491968|Mechanical Comprehension|6070407060783104|Machines Extended 2|5590862822113280
5861375517655040|Auto and Shop Information|4888261377916928|Metal Shop Extended 2|5843932537683968
5945201837211648|Mathematics Knowledge|5943348347011072|Algebra 1|6515454241669120
5878262490202112|Arithmetic Reasoning|5894176474398720|Equations 1|5356458457694208
5533861310103552|General Science|6508247074734080|Cellular Biology 1|6439154080546816
4830925621821440|Assembling Objects|4873829683822592|Puzzle Items 1|6201846165143552
4830925621821440|Assembling Objects|5718254613954560|Connection Items 1|5474604015419392
5984778887102464|Paragraph Comprehension|6076251815018496|Finding Information 1|6249124057841664
5878262490202112|Arithmetic Reasoning|5184035106062336|Ratio & Proportion Extended 2|6178405531779072
4643957105491968|Mechanical Comprehension|5668232136491008|Fundamentals of Mechanics Extended 1|6026237726162944
5878262490202112|Arithmetic Reasoning|6703417032441856|Unit Conversion  1|6275096396169216
5984778887102464|Paragraph Comprehension|5544674919972864|Main Idea Extended 1|5446813284827136
5533861310103552|General Science|5160459317542912|Human Body Systems Extended 3|6690772808105984
5878262490202112|Arithmetic Reasoning|6140467079020544|Geometry 1|5124711988068352
5878262490202112|Arithmetic Reasoning|5119311651799040|Fraction Extended 2|5008108237619200
5984778887102464|Paragraph Comprehension|6076251815018496|Finding Information 1|6229660474015744
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|5512700241117184
5984778887102464|Paragraph Comprehension|6427577656803328|Word Meaning in Context Extended 1|4755605407399936
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|4947224846925824
5878262490202112|Arithmetic Reasoning|6451628357976064|Math Operations Extended 1|5950990461173760
5878262490202112|Arithmetic Reasoning|5401595265155072|Percentage 1|6707243556798464
5878262490202112|Arithmetic Reasoning|4849791984992256|Unit Conversion  Extended 1|6443571670417408
5533861310103552|General Science|6483823432826880|Earth Science Extended 3|4539698005409792
5878262490202112|Arithmetic Reasoning|6515234273492992|Distance, Rate, & Time Extended 2|5148544809828352
5549399260266496|Electronics Information|5770073394380800|Electrical Systems 1|5338914858467328
5533861310103552|General Science|6350790444711936|Cellular Biology Extended 3|4661940584448000
5984778887102464|Paragraph Comprehension|6639201768439808|Main Idea 1|6320694486892544
5878262490202112|Arithmetic Reasoning|4761575906869248|Geometry Extended 1|5758360011931648
5878262490202112|Arithmetic Reasoning|5542332753510400|Fraction 1|4956854062940160
5878262490202112|Arithmetic Reasoning|6246020195287040|Ratio & Proportion 1|5237895617052672
5861375517655040|Auto and Shop Information|5329570609758208|Automotive Knowledge 1|6227642695024640
5861375517655040|Auto and Shop Information|4537922237759488|Woodworking 1|6742372731846656
5878262490202112|Arithmetic Reasoning|4627539079200768|Distance, Rate, & Time 1|6312246823092224
6473544454111232|Word Knowledge|4524639741018112|Synonym-based Questions Extended 1|5597763089727488
5861375517655040|Auto and Shop Information|5463924526809088|Metal Shop Extended 1|6065851845312512
4643957105491968|Mechanical Comprehension|4799204559945728|Fundamentals of Mechanics 1|5578098768609280
5549399260266496|Electronics Information|5518281632907264|Electrical Systems Extended 1|5010320682647552
5878262490202112|Arithmetic Reasoning|5325854750015488|Number Properties Extended 3|4876483461906432
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|4698489466388480
5878262490202112|Arithmetic Reasoning|4627539079200768|Distance, Rate, & Time 1|5550712312299520
5984778887102464|Paragraph Comprehension|4598508187287552|Wider Implications 1|6074647370006528
